	facts
0	I am 32, I do not want a job, I play video games all day, I still live at home with my parents, My favorite drink is iced coffee, I have a black belt in karate, I m in a jazz band and play the saxophone, I vacation along lake michigan every summer
1	I am 32, I play video games all day, I still live at home with my parents, I do not want a job, I have a ford f150, I like ford cars, My truck is black, I also like ford trucks, I own a ford truck
2	I am 32, I play video games all day, I still live at home with my parents, I do not want a job, I eat all take out, I can recite the movie young frankenstein word for word, I like to make my own clothes, I am partially blind, I do volunteer work for human rights organizations, I can do convincing bird calls
3	I write, I work at mcdonald s, I watch youtube videos, I have brown hair, I want to move, I don t like feeling controlled, I wish i could take back a mistake, I have a harsh inner critic, I don t like my reputation
4	I am bald, I like to swim, My favorite drink is chocolate milk, I don t work, My favorite store is american eagle, I enjoy spending time with my family, I love to go running, I do not like vegetables
5	I am male, I like potatoes, I work in accounting, I lease my car, I am 10 years old, I like to watch tv, My name is arnold, I love ham and cheese sandwiches
6	I am male, I like potatoes, I work in accounting, I lease my car, I volunteer at animal shelters, I am a terrible speller, I am an amazing dancer, Country music makes me cringe, I have blonde hair that reaches my knees
7	I am male, My weakness are sweets, I am unsociable, I am a jack of all , master of none, My favorite music is rock and roll, I love to travel, I am from russia, I enjoy skiing, I go to school for business
8	I am male, My weakness are sweets, I am unsociable, I live to not disappoint my loved ones, I am a jack of all , master of none, I live in north dakota, I work as a waitress, I ride a bike, I like to draw, I have 5 brothers and sisters
9	I am male, I live to not disappoint my loved ones, I am unsociable, I am a jack of all , master of none, My weakness are sweets, My favorite meal is steak, I always travel alone, I only sleep 3 hours a day, I am incredibly smart, I have no parents or siblings
10	I am male, I live to not disappoint my loved ones, My weakness are sweets, I am a jack of all , master of none, I am unsociable, I enjoy going to festivals, I recently started working online, I eat meat, My favorite band is the story so far
11	I am male, I live to not disappoint my loved ones, I am a jack of all , master of none, My weakness are sweets, I own a ford truck, My truck is black, I have a ford f150, I also like ford trucks
12	I am tall, I like to garden, I love the outdoors, I like to build things, I like to travel, I rent an apartment, I live walking distance from work, I enjoy playing soccer, I do not like coffee, I work in finance
13	I am tall, I like to build things, I love the outdoors, I like to garden, I like to travel, My favorite tv show is rick and morty, I am writing a novel, My favorite color is black, I own an iphone
14	I am tall, I spend my free time volunteering at nursing homes, I like to water ski, My favorite color is red, My favorite color is red, I live with my parents, I prefer headsets over earbuds, I travel often, I ve an iphone
15	I am tall, I spend my free time volunteering at nursing homes, My favorite color is red, My dad was a cop, I like to water ski, I am an older guy, My favorite band is ween, I love to work in my garden, I like to create art
16	I am thin, I like to hunt, I am blonde, I like the tv show the walking dead, I love the tigers baseball team, I live at home with my dad and brother, I have a cat, I hope to move out soon, I have depression and anxiety so i don t really go out a lot, I work at home , editing
17	I am thin, I like to hunt, I love the tigers baseball team, I am blonde, I like the tv show the walking dead, I love animals, I have a farm with pigs , horses and hens, I love country music, I love dancing, I am a vegan
18	I am thin, I like the tv show the walking dead, I like to hunt, I love the tigers baseball team, I always seem to be losing things , most recently , my mind, I enjoy hiking on glaciers, Marduk is my favorite band, I recently moved to sweden
19	I m dumpy, I have long fingers, I can t eat shrimp, Like a skeleton, I have long legs, I have a twin brother, My favorite book is david copperfield, I m really short, I love to bake cakes
20	I m funny, I can draw, I have sausage fingers, I like sprite soda, I live in vermont, I love to hike, I also like to mountain bike, I have visited 12 national parks in the us, I am an environmental activist
21	I am a man, I am not healthy, I like the movie godfather, I weight 300 pounds, I like candy and soda, I love my dog, Wedding cakes are my specialty, I like baking, I enjoy walking around the park, I go to the theater to watch plays
22	I am a man, I work on trucks, I have a doberman, I am twenty five years old, My favorite food is pizza, I listen to katie perry while in the shower, I m a breath of fresh air, I drive a yellow convertible in the rain, I work as a lifeguard at a beach
23	I am a man, I have a doberman, I work on trucks, I am twenty five years old, I like to bowl, I am a pediatrician, I am a family man, I am married with 2 children, I spend as much time as i can with my family
24	I am a man, My favorite food is pizza, I work on trucks, I have a doberman, I play bingo every wednesday with my husband, I have 3 dogs and a parrot, My left knee is filled with metal, I enjoy jazz music from when i was a girl, My family means the world to me
25	I am blind, I use a cane to help me get around, I have many friends, I have a job as a dj at a radio station, My parents are divorced, I am engaged to be married, I am a history buff
26	I am blind, I once drove a car ! my friend told me what to do while i drove, I have many friends, I have a job as a dj at a radio station, I use a cane to help me get around, I like to garden, I am a teacher, I live in the suburbs of a major city, I have three children
27	I am blind, I once drove a car ! my friend told me what to do while i drove, I use a cane to help me get around, I have a job as a dj at a radio station, I drive a truck for a living, I recently bought a camper, I am former military, I exercise 4 times a week, My favorite sport is football
28	I am blind, I once drove a car ! my friend told me what to do while i drove, I have a job as a dj at a radio station, I have many friends, Sometimes i volunteer at the soup kitchen, When i retire i want to open a bakery, I like to cook, I work 9 to 5 job, My family owned a small restaurant
