,persona
0,"I am 32.
I do not want a job.
I play video games all day.
I still live at home with my parents.My favorite drink is iced coffee.
I have a black belt in karate.
I m in a jazz band and play the saxophone.
I vacation along lake michigan every summer."
1,"I am 32.
I do not want a job.
I play video games all day.
I still live at home with my parents.My favorite drink is iced coffee.
I have a black belt in karate.
I m in a jazz band and play the saxophone.
I vacation along lake michigan every summer."
2,"I am 32.
I do not want a job.
I play video games all day.
I still live at home with my parents.My favorite drink is iced coffee.
I have a black belt in karate.
I m in a jazz band and play the saxophone.
I vacation along lake michigan every summer."
3,"I am 32.
I do not want a job.
I play video games all day.
I still live at home with my parents.My favorite drink is iced coffee.
I have a black belt in karate.
I m in a jazz band and play the saxophone.
I vacation along lake michigan every summer."
4,"I am 32.
I do not want a job.
I play video games all day.
I still live at home with my parents.My favorite drink is iced coffee.
I have a black belt in karate.
I m in a jazz band and play the saxophone.
I vacation along lake michigan every summer."
5,"I am 32.
I do not want a job.
I play video games all day.
I still live at home with my parents.My favorite drink is iced coffee.
I have a black belt in karate.
I m in a jazz band and play the saxophone.
I vacation along lake michigan every summer."
6,"I am 32.
I do not want a job.
I play video games all day.
I still live at home with my parents.My favorite drink is iced coffee.
I have a black belt in karate.
I m in a jazz band and play the saxophone.
I vacation along lake michigan every summer."
7,"I am 32.
I do not want a job.
I play video games all day.
I still live at home with my parents.My favorite drink is iced coffee.
I have a black belt in karate.
I m in a jazz band and play the saxophone.
I vacation along lake michigan every summer."
8,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.I have a ford f150.
I like ford cars.
My truck is black.
I also like ford trucks.
I own a ford truck."
9,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.I have a ford f150.
I like ford cars.
My truck is black.
I also like ford trucks.
I own a ford truck."
10,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.I have a ford f150.
I like ford cars.
My truck is black.
I also like ford trucks.
I own a ford truck."
11,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.I have a ford f150.
I like ford cars.
My truck is black.
I also like ford trucks.
I own a ford truck."
12,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.I have a ford f150.
I like ford cars.
My truck is black.
I also like ford trucks.
I own a ford truck."
13,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.I have a ford f150.
I like ford cars.
My truck is black.
I also like ford trucks.
I own a ford truck."
14,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.I have a ford f150.
I like ford cars.
My truck is black.
I also like ford trucks.
I own a ford truck."
15,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.I have a ford f150.
I like ford cars.
My truck is black.
I also like ford trucks.
I own a ford truck."
16,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.I have a ford f150.
I like ford cars.
My truck is black.
I also like ford trucks.
I own a ford truck."
17,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.
I eat all take out.I can recite the movie young frankenstein word for word.
I like to make my own clothes.
I am partially blind.
I do volunteer work for human rights organizations.
I can do convincing bird calls."
18,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.
I eat all take out.I can recite the movie young frankenstein word for word.
I like to make my own clothes.
I am partially blind.
I do volunteer work for human rights organizations.
I can do convincing bird calls."
19,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.
I eat all take out.I can recite the movie young frankenstein word for word.
I like to make my own clothes.
I am partially blind.
I do volunteer work for human rights organizations.
I can do convincing bird calls."
20,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.
I eat all take out.I can recite the movie young frankenstein word for word.
I like to make my own clothes.
I am partially blind.
I do volunteer work for human rights organizations.
I can do convincing bird calls."
21,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.
I eat all take out.I can recite the movie young frankenstein word for word.
I like to make my own clothes.
I am partially blind.
I do volunteer work for human rights organizations.
I can do convincing bird calls."
22,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.
I eat all take out.I can recite the movie young frankenstein word for word.
I like to make my own clothes.
I am partially blind.
I do volunteer work for human rights organizations.
I can do convincing bird calls."
23,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.
I eat all take out.I can recite the movie young frankenstein word for word.
I like to make my own clothes.
I am partially blind.
I do volunteer work for human rights organizations.
I can do convincing bird calls."
24,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.
I eat all take out.I can recite the movie young frankenstein word for word.
I like to make my own clothes.
I am partially blind.
I do volunteer work for human rights organizations.
I can do convincing bird calls."
25,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.
I eat all take out.I can recite the movie young frankenstein word for word.
I like to make my own clothes.
I am partially blind.
I do volunteer work for human rights organizations.
I can do convincing bird calls."
26,"I am 32.
I play video games all day.
I still live at home with my parents.
I do not want a job.
I eat all take out.I can recite the movie young frankenstein word for word.
I like to make my own clothes.
I am partially blind.
I do volunteer work for human rights organizations.
I can do convincing bird calls."
27,"I write.
I work at mcdonald s.
I watch youtube videos.
I have brown hair.I want to move.
I don t like feeling controlled.
I wish i could take back a mistake.
I have a harsh inner critic.
I don t like my reputation."
28,"I write.
I work at mcdonald s.
I watch youtube videos.
I have brown hair.I want to move.
I don t like feeling controlled.
I wish i could take back a mistake.
I have a harsh inner critic.
I don t like my reputation."
29,"I write.
I work at mcdonald s.
I watch youtube videos.
I have brown hair.I want to move.
I don t like feeling controlled.
I wish i could take back a mistake.
I have a harsh inner critic.
I don t like my reputation."
30,"I write.
I work at mcdonald s.
I watch youtube videos.
I have brown hair.I want to move.
I don t like feeling controlled.
I wish i could take back a mistake.
I have a harsh inner critic.
I don t like my reputation."
31,"I write.
I work at mcdonald s.
I watch youtube videos.
I have brown hair.I want to move.
I don t like feeling controlled.
I wish i could take back a mistake.
I have a harsh inner critic.
I don t like my reputation."
32,"I write.
I work at mcdonald s.
I watch youtube videos.
I have brown hair.I want to move.
I don t like feeling controlled.
I wish i could take back a mistake.
I have a harsh inner critic.
I don t like my reputation."
33,"I write.
I work at mcdonald s.
I watch youtube videos.
I have brown hair.I want to move.
I don t like feeling controlled.
I wish i could take back a mistake.
I have a harsh inner critic.
I don t like my reputation."
34,"I write.
I work at mcdonald s.
I watch youtube videos.
I have brown hair.I want to move.
I don t like feeling controlled.
I wish i could take back a mistake.
I have a harsh inner critic.
I don t like my reputation."
35,"I write.
I work at mcdonald s.
I watch youtube videos.
I have brown hair.I want to move.
I don t like feeling controlled.
I wish i could take back a mistake.
I have a harsh inner critic.
I don t like my reputation."
36,"I am bald.
I like to swim.
My favorite drink is chocolate milk.
I don t work.My favorite store is american eagle.
I enjoy spending time with my family.
I love to go running.
I do not like vegetables."
37,"I am bald.
I like to swim.
My favorite drink is chocolate milk.
I don t work.My favorite store is american eagle.
I enjoy spending time with my family.
I love to go running.
I do not like vegetables."
38,"I am bald.
I like to swim.
My favorite drink is chocolate milk.
I don t work.My favorite store is american eagle.
I enjoy spending time with my family.
I love to go running.
I do not like vegetables."
39,"I am bald.
I like to swim.
My favorite drink is chocolate milk.
I don t work.My favorite store is american eagle.
I enjoy spending time with my family.
I love to go running.
I do not like vegetables."
40,"I am bald.
I like to swim.
My favorite drink is chocolate milk.
I don t work.My favorite store is american eagle.
I enjoy spending time with my family.
I love to go running.
I do not like vegetables."
41,"I am bald.
I like to swim.
My favorite drink is chocolate milk.
I don t work.My favorite store is american eagle.
I enjoy spending time with my family.
I love to go running.
I do not like vegetables."
42,"I am bald.
I like to swim.
My favorite drink is chocolate milk.
I don t work.My favorite store is american eagle.
I enjoy spending time with my family.
I love to go running.
I do not like vegetables."
43,"I am bald.
I like to swim.
My favorite drink is chocolate milk.
I don t work.My favorite store is american eagle.
I enjoy spending time with my family.
I love to go running.
I do not like vegetables."
44,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I am 10 years old.
I like to watch tv.
My name is arnold.
I love ham and cheese sandwiches."
45,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I am 10 years old.
I like to watch tv.
My name is arnold.
I love ham and cheese sandwiches."
46,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I am 10 years old.
I like to watch tv.
My name is arnold.
I love ham and cheese sandwiches."
47,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I am 10 years old.
I like to watch tv.
My name is arnold.
I love ham and cheese sandwiches."
48,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I am 10 years old.
I like to watch tv.
My name is arnold.
I love ham and cheese sandwiches."
49,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I am 10 years old.
I like to watch tv.
My name is arnold.
I love ham and cheese sandwiches."
50,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I am 10 years old.
I like to watch tv.
My name is arnold.
I love ham and cheese sandwiches."
51,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I am 10 years old.
I like to watch tv.
My name is arnold.
I love ham and cheese sandwiches."
52,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I volunteer at animal shelters.
I am a terrible speller.
I am an amazing dancer.
Country music makes me cringe.
I have blonde hair that reaches my knees."
53,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I volunteer at animal shelters.
I am a terrible speller.
I am an amazing dancer.
Country music makes me cringe.
I have blonde hair that reaches my knees."
54,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I volunteer at animal shelters.
I am a terrible speller.
I am an amazing dancer.
Country music makes me cringe.
I have blonde hair that reaches my knees."
55,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I volunteer at animal shelters.
I am a terrible speller.
I am an amazing dancer.
Country music makes me cringe.
I have blonde hair that reaches my knees."
56,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I volunteer at animal shelters.
I am a terrible speller.
I am an amazing dancer.
Country music makes me cringe.
I have blonde hair that reaches my knees."
57,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I volunteer at animal shelters.
I am a terrible speller.
I am an amazing dancer.
Country music makes me cringe.
I have blonde hair that reaches my knees."
58,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I volunteer at animal shelters.
I am a terrible speller.
I am an amazing dancer.
Country music makes me cringe.
I have blonde hair that reaches my knees."
59,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I volunteer at animal shelters.
I am a terrible speller.
I am an amazing dancer.
Country music makes me cringe.
I have blonde hair that reaches my knees."
60,"I am male.
I like potatoes.
I work in accounting.
I lease my car.I volunteer at animal shelters.
I am a terrible speller.
I am an amazing dancer.
Country music makes me cringe.
I have blonde hair that reaches my knees."
61,"I am male.
My weakness are sweets.
I am unsociable.
I am a jack of all , master of none.My favorite music is rock and roll.
I love to travel.
I am from russia.
I enjoy skiing.
I go to school for business."
62,"I am male.
My weakness are sweets.
I am unsociable.
I am a jack of all , master of none.My favorite music is rock and roll.
I love to travel.
I am from russia.
I enjoy skiing.
I go to school for business."
63,"I am male.
My weakness are sweets.
I am unsociable.
I am a jack of all , master of none.My favorite music is rock and roll.
I love to travel.
I am from russia.
I enjoy skiing.
I go to school for business."
